subj_id,stage,block_idx,horizon,p0,p1,trial_idx,arm,reward,rt
b355a-ec390,practice,0,5,0.9,0.1,0,0,1,3589
b355a-ec390,practice,0,5,0.9,0.1,1,1,0,450
b355a-ec390,practice,0,5,0.9,0.1,2,0,1,3646
b355a-ec390,practice,0,5,0.9,0.1,3,0,1,627
b355a-ec390,practice,0,5,0.9,0.1,4,0,1,454
b355a-ec390,practice,1,5,0.9,0.1,0,0,1,1526
b355a-ec390,practice,1,5,0.9,0.1,1,0,0,528
b355a-ec390,practice,1,5,0.9,0.1,2,1,0,683
b355a-ec390,practice,1,5,0.9,0.1,3,0,1,115
b355a-ec390,practice,1,5,0.9,0.1,4,0,1,388
b355a-ec390,main,0,10,0.9,0.6,0,1,0,1438
b355a-ec390,main,0,10,0.9,0.6,1,0,1,1755
b355a-ec390,main,0,10,0.9,0.6,2,0,0,695
b355a-ec390,main,0,10,0.9,0.6,3,1,1,220
b355a-ec390,main,0,10,0.9,0.6,4,1,0,484
b355a-ec390,main,0,10,0.9,0.6,5,1,1,327
b355a-ec390,main,0,10,0.9,0.6,6,1,1,479
b355a-ec390,main,0,10,0.9,0.6,7,1,0,299
b355a-ec390,main,0,10,0.9,0.6,8,1,1,611
b355a-ec390,main,0,10,0.9,0.6,9,1,1,546
b355a-ec390,main,1,5,0.483,0.362,0,0,1,1654
b355a-ec390,main,1,5,0.483,0.362,1,0,0,462
b355a-ec390,main,1,5,0.483,0.362,2,1,0,1294
b355a-ec390,main,1,5,0.483,0.362,3,0,0,465
b355a-ec390,main,1,5,0.483,0.362,4,1,1,152
b355a-ec390,main,2,5,0.5,0.5,0,0,0,1463
b355a-ec390,main,2,5,0.5,0.5,1,1,1,813
b355a-ec390,main,2,5,0.5,0.5,2,1,0,413
b355a-ec390,main,2,5,0.5,0.5,3,0,1,532
b355a-ec390,main,2,5,0.5,0.5,4,0,0,365
b355a-ec390,main,3,20,0.048,0.816,0,0,0,1014
b355a-ec390,main,3,20,0.048,0.816,1,1,0,2233
b355a-ec390,main,3,20,0.048,0.816,2,0,0,182
b355a-ec390,main,3,20,0.048,0.816,3,1,1,430
b355a-ec390,main,3,20,0.048,0.816,4,1,1,376
