session_id,stage,block_idx,high_reward,low_reward,horizon,p0,p1,trial_idx,arm,reward,rt
6907835a23925553808deaca,practice,0,1,-1,5,0.1,0.9,0,0,0,1453
6907835a23925553808deaca,practice,0,1,-1,5,0.1,0.9,1,1,1,706
6907835a23925553808deaca,practice,0,1,-1,5,0.1,0.9,2,1,1,440
6907835a23925553808deaca,practice,0,1,-1,5,0.1,0.9,3,1,1,325
6907835a23925553808deaca,practice,0,1,-1,5,0.1,0.9,4,1,1,293
6907835a23925553808deaca,practice,1,1,-1,5,0.1,0.9,0,0,0,862
6907835a23925553808deaca,practice,1,1,-1,5,0.1,0.9,1,1,1,272
6907835a23925553808deaca,practice,1,1,-1,5,0.1,0.9,2,1,1,427
6907835a23925553808deaca,practice,1,1,-1,5,0.1,0.9,3,1,1,126
6907835a23925553808deaca,practice,1,1,-1,5,0.1,0.9,4,1,1,234
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,0,0,0,718
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,1,1,1,417
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,2,1,0,297
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,3,0,1,2119
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,4,1,1,484
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,5,0,1,309
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,6,1,1,355
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,7,0,1,277
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,8,1,1,375
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,9,0,1,500
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,10,1,0,274
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,11,0,1,412
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,12,1,0,924
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,13,1,1,1235
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,14,0,1,358
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,15,1,1,391
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,16,0,0,425
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,17,0,1,1251
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,18,1,1,597
6907835a23925553808deaca,main,0,1,-1,20,0.758,0.751,19,0,1,308
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,0,0,0,3126
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,1,1,0,1233
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,2,1,0,546
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,3,0,1,1147
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,4,0,1,932
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,5,1,1,1847
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,6,1,0,418
6907835a23925553808deaca,main,1,1,-1,10,0.522,0.587,7,0,1,948
