subj_id,stage,block_idx,reward_value,horizon,p0,p1,trial_idx,arm,reward,rt
a7382-29860,practice,0,0,5,0.1,0.9,0,0,0,1723
a7382-29860,practice,0,0,5,0.1,0.9,1,1,1,1200
a7382-29860,practice,0,0,5,0.1,0.9,2,1,1,1358
a7382-29860,practice,0,0,5,0.1,0.9,3,1,1,648
a7382-29860,practice,0,0,5,0.1,0.9,4,1,1,434
a7382-29860,practice,1,0,5,0.1,0.9,0,1,1,1630
a7382-29860,practice,1,0,5,0.1,0.9,1,1,0,887
a7382-29860,practice,1,0,5,0.1,0.9,2,0,0,970
a7382-29860,practice,1,0,5,0.1,0.9,3,1,1,455
a7382-29860,practice,1,0,5,0.1,0.9,4,1,0,1208
a7382-29860,main,0,1,5,0.795,0.275,0,0,1,1235
a7382-29860,main,0,1,5,0.795,0.275,1,0,0,1282
a7382-29860,main,0,1,5,0.795,0.275,2,1,0,657
a7382-29860,main,0,1,5,0.795,0.275,3,0,1,792
a7382-29860,main,0,1,5,0.795,0.275,4,0,1,1693
a7382-29860,main,1,1,20,0.716,0.433,0,0,1,463
a7382-29860,main,1,1,20,0.716,0.433,1,0,0,592
a7382-29860,main,1,1,20,0.716,0.433,2,1,1,430
a7382-29860,main,1,1,20,0.716,0.433,3,1,0,966
a7382-29860,main,1,1,20,0.716,0.433,4,0,1,761
a7382-29860,main,1,1,20,0.716,0.433,5,0,0,1897
a7382-29860,main,1,1,20,0.716,0.433,6,0,1,1002
a7382-29860,main,1,1,20,0.716,0.433,7,0,0,1042
a7382-29860,main,1,1,20,0.716,0.433,8,1,0,680
a7382-29860,main,1,1,20,0.716,0.433,9,0,0,527
a7382-29860,main,1,1,20,0.716,0.433,10,1,1,292
a7382-29860,main,1,1,20,0.716,0.433,11,1,0,761
a7382-29860,main,1,1,20,0.716,0.433,12,0,0,589
a7382-29860,main,1,1,20,0.716,0.433,13,1,1,485
a7382-29860,main,1,1,20,0.716,0.433,14,1,0,1178
a7382-29860,main,1,1,20,0.716,0.433,15,0,1,280
